store,description,market,parent,capacity,maxReleaseOrderPerDay,supplyOffsetQuantity,isDefault,status,preferred,type,inventoryAvailableToSell,rollupInventory,longitude,state,country,city,address,postalCode,latitude
846,House of Brews#846,CA,846,30,30,3,N,A,N,S,Y,Y,-113.547458,AB,CA,EDMONTON,13300 Blk 137th Avenue,T5L4Z6,53.599578
1492,Gap1492,US,1492,50,250,3,N,A,N,S,Y,Y,-71.032128,MA,US,Lynnfield,900 Market Street,1940,42.515196
7759,Brewdis Brewery #7759,US,7759,35,35,0,N,A,N,S,Y,Y,-77.299525,VA,US,PRINCE WILLIAM,2700 Potomac Mills Circle,22192,38.645183
3778,House of Brews#3778,CA,3778,30,30,3,N,A,N,S,Y,Y,-66.021749,NB,CA,SAINT JOHN,Consumers Drive,E2J4Z3,45.306646
7708,Brewdis Brewery #7708,US,7708,15,15,0,N,A,N,S,Y,Y,-84.914294,GA,US,CALHOUN,455 Belwood Road,30701,34.449177
450,Brewdis #450,US,450,30,30,0,N,O,N,S,N,N,,TX,US,BEAUMONT,6155 Eastex Freeway,77706,
5026,Brewdis #5026,US,5026,25,25,0,N,O,N,S,N,N,,AL,US,MOBILE,3299 Bel Air Mall,36606,
3228,SQAle Brewery #3228,US,3228,30,30,0,N,A,N,S,Y,Y,-82.504753,FL,US,ELLENTON,5657 Factory Shops Boulevard,34222,27.534336
4643,SQAle #4643,US,4643,30,15,0,N,A,N,S,Y,Y,-93.807039,IA,US,West Des Moines,101 Jordan Creek Parkway,50266,41.570262
3481,House of Brews #3481,US,3481,65,45,3,N,A,N,S,Y,Y,,TX,US,LUFKIN,4505 S Medford,75901,
3808,House of Brews #3808,US,3808,70,70,3,N,A,N,S,Y,Y,,RI,US,NEWPORT,199 CONNELL HWY,02840-1091,
7096,Hip Hops #7096,US,7096,30,30,0,N,A,N,S,Y,Y,-117.211042,CA,US,San Diego,4545 La Jolla Village Dr,92112,32.871615
9124,Store #9124,CA,9887,25,25,2,N,A,N,S,Y,N,-79.436087,ON,CA,RICHMOND HILL,9350 Younge Street,L4C 5G2,43.854855
1515,Brewdis #1515,US,1515,50,150,0,N,A,N,S,Y,Y,,TX,US,DALLAS,13250 Dallas Parkway,75240,
5068,House of Brews #5068,US,5068,45,45,3,N,A,N,S,Y,Y,,TN,US,ALCOA,HIGHWAY 129,37701,
6399,House of Brews #6399,US,6399,65,65,3,N,A,N,S,Y,Y,,MO,US,BRANSON,300 TANGER BLVD.,65616,
3697,Brewdis 3697,JP,3697,30,30,1,N,A,N,S,Y,Y,,13,JP,Adachi-ku,Marui Kitasenju 5F,120-8501,
6520,Brewdis #6520,US,6520,10,50,0,N,O,N,S,N,N,-89.627948,IL,US,Peoria,4501 N WAR MEMORIAL DR,61613,40.742537
8507,SQAle #8507,US,8507,15,15,0,N,A,N,S,Y,Y,,GA,US,MARIETTA,3225 DALLAS HIGHWAY SUITE 821,30063,
5683,House of Brews#5683,US,5683,65,45,3,N,A,N,S,Y,Y,-95.618509,TX,US,SUGAR LAND,2575 TOWN CENTER BLVD N,77479,29.594043
4908,Hip Hops #4908,US,4908,30,30,0,N,A,N,S,Y,Y,,UT,US,Salt Lake City,50 SOUTH MAIN STREET,84101,
4637,SQAle #4637,US,4637,30,15,0,N,A,N,S,Y,Y,112.038457,AZ,US,Phoenix,2131 E. CAMELBACK RD,85016,33.508873
4224,House of Brews#4224,CA,4224,25,30,0,N,A,N,S,Y,Y,-122.784102,BC,CA,PRINCE GEORGE,5999 Southridge Avenue,V2N6Z4,53.864383
7755,Brewdis Brewery #7755,US,7755,35,35,0,N,A,N,S,Y,Y,-121.56677,CA,US,GILROY,8555 San Ysidro Avenue,95020,37.024976
681,Brewdis US #681,US,681,30,90,1,N,A,N,S,Y,Y,-93.836845,MO,US,Saint Louis,62 West County Center,63131,37.430727
6744,Store #6744,CA,6744,20,20,0,N,A,N,S,Y,Y,-114.06142,AB,CA,CALGARY,100 Anderson Road,T2J 3V1,50.949689
6318,Brewdis #6318,US,6318,10,50,0,N,A,N,S,Y,Y,-80.237943,FL,US,Jensen Beach,3444  NW FEDERAL HWY,34957,27.236473
8251,SQAle #8251,US,8251,15,15,0,N,A,N,S,Y,Y,-97.818113,TX,US,AUSTIN,2901 S CAPITAL OF TEXAS HWY,78746,30.2971
6151,ON6151,US,6151,65,65,3,N,A,N,S,Y,Y,-121.12487,CA,US,FOLSOM,2755 E BIDWELL ST,95630,38.655885
5126,House of Brews #5126,US,5126,65,65,3,N,A,N,S,Y,Y,,MA,US,HOLYOKE,50 HOLYOKE STREET,1040,
4795,Hip Hops #4795,US,4795,30,30,0,N,A,N,S,Y,Y,,NJ,US,Woodcliff Lake,441 Chestnut Ridge Road,7677,
3180,SQAle #3180,US,3180,10,10,0,N,A,N,S,Y,Y,,NJ,US,Denville,3056 State Route 10,7834,
5366,House of Brews#5366,US,5366,45,45,3,N,A,N,S,Y,Y,-95.539115,TX,US,HOUSTON,1002 WILLOWBROOK MALL,77070,29.959787
2019,Brewdis Brewery #2019,US,2019,25,25,0,N,A,N,S,Y,Y,-73.05878,VT,US,MANCHESTER,4733 Main Street,5255,43.175558
4213,House of Brews#4213,CA,4213,45,45,3,N,A,N,S,Y,Y,-118.843494,AB,CA,GRANDE PRAIRIE,11521 Westgate Drive,T8V3B1,55.171352
7070,SQAle #7070,US,7070,30,30,0,N,A,N,S,Y,Y,-85.762093,FL,US,Miami Beach,1001 Lincoln Rd,33139,42.487291
6353,House of Brews #6353,US,6353,45,45,3,N,O,N,S,N,N,,VA,US,BRISTOL,16640 HIGHLANDS CENTER BLVD,24202,
4638,SQAle #4638,US,4638,30,30,0,N,A,N,S,Y,Y,-92.458386,AR,US,Little Rock,17721 Chenal Pkwy,72223,34.765551
2694,Brewdis Brewery #2694,US,2694,35,35,0,N,A,N,S,Y,Y,-99.510542,TX,US,LAREDO,1500 Water Street,78040,27.501432
6352,House of Brews #6352,US,6352,65,65,3,N,A,N,S,Y,Y,,IL,US,TUSCOLA,i700 TUSCOLA BLVD,61953,
3634,Brewdis 3634,JP,3634,31,31,1,N,A,N,S,Y,Y,139.56175,14,JP,Yokohama-shi,537-1,244-8534,35.427472
7995,SQAle Brewery #7995,US,7995,45,45,0,N,A,N,S,Y,Y,-75.572269,PA,US,POTTSTOWN,18 W Lightcap Road,19464,40.236917
4535,Brewdis #4535,US,4535,25,125,0,N,A,N,S,Y,Y,,LA,US,MANDEVILLE,3414 Hwy 190,70471,
6271,SQAle Brewery #6271,US,6271,45,45,0,N,A,N,S,Y,Y,-122.874629,OR,US,WOODBURN,1001 Arney Road,97071,45.158493
9839,Store #9839,CA,9839,25,25,0,N,A,N,S,Y,Y,-79.707906,ON,CA,MISSISSAUGA,5100 Erin Mills Parkway,L5M 4Z5,43.559467
6779,House of Brews#6779,US,6779,45,65,3,N,A,N,S,Y,Y,-88.244711,IL,US,CHAMPAIGN,2000 N Neil St,61821,40.139964
4789,Hip Hops #4789,US,4789,30,30,0,N,A,N,S,Y,Y,-75.1702476,PA,US,PHILADELPHIA,1722-24 WALNUT STREET,19103,39.9500332
2820,Brewdis #2820,US,2820,50,25,0,N,O,N,S,N,N,,OR,US,EUGENE,219 VALLEY RIVER CTR,97401-2176,
9834,Store #9834,CA,9834,25,25,0,N,A,N,S,Y,Y,-79.455455,ON,CA,TORONTO,3401 Dufferin Street,M6A 2T9,43.724505
6220,House of Brews#6220,US,6220,65,65,3,N,A,N,S,Y,Y,-101.921046,TX,US,LUBBOCK,6249 SLIDE RD,79414,33.536815
7974,Brewdis Brewery #7974,US,7974,25,25,0,N,A,N,S,Y,Y,-81.97387,FL,US,FORT MEYERS,20350 Summerlin Road,33908,26.494704
4048,Brewdis 3757,JP,4048,30,30,1,N,A,N,S,N,N,,13,JP,Chiyoda-ku,Daimaru Tokyo 5F,100-6701,
4895,Hip Hops #4895,US,4895,30,30,0,N,A,N,S,Y,Y,,CA,US,Palo Alto,885 El Camino Real Suite 37,94301,
2907,Brewdis #2907,US,2907,30,150,0,N,A,N,S,Y,Y,,WI,US,GLENDALE,401 WEST NORTH SHORE DRIVE,53217,
3776,House of Brews#3776,US,3776,65,65,3,N,A,N,S,Y,Y,-89.652807,WI,US,WAUSAU,3651 RIB MOUNTAIN DR,54401,44.924037
6611,House of Brews #6611,US,6611,0,30,0,N,O,N,S,N,N,,NY,US,NIAGARA FALLS,1776 MILITARY ROAD,14304,
5535,House of Brews #5535,US,5535,45,45,3,N,O,N,S,N,N,,CA,US,CHINO,3850 Grand Avenue,91710,
1994,SQAle Brewery #1994,US,1994,15,15,0,N,A,N,S,Y,Y,-80.522341,FL,US,VERO BEACH,1748 94th Drive,32966,27.636942
6169,House of Brews #6169,US,6169,65,65,3,N,A,N,S,Y,Y,,AR,US,FAYETTEVILLE,3810 N MALL AVENUE,72703,
8988,SQAle #8988,US,8988,25,25,0,N,A,N,S,Y,Y,,CA,US,PALM DESERT,73-425 El Paseo,92260,
6100,Brewdis #6100,US,6100,60,60,0,N,O,N,S,N,N,,NV,US,LAS VEGAS,6593 LAS VEGAS BLVD S,89109,
3138,SQAle #3138,US,3138,30,20,0,N,O,N,S,N,N,,PA,US,NORTH WALES,1460 BETHLEHEM PIKE,19454-2159,
3867,Brewdis 3867,JP,3867,30,30,1,N,A,N,S,N,N,139.509972,14,JP,Kawasaki-shi,1-19,215-0021,35.599083
7621,SQAle Brewery #7621,US,7621,30,30,0,N,A,N,S,Y,Y,-83.306709,MI,US,AUBURN HILLS,4630 Baldwin Road,48326,42.706768
5599,House of Brews #5599,US,5599,65,65,3,N,A,N,S,Y,Y,,OR,US,CLACKAMAS,8646 SE SUNNYSIDE RD,97015,
6416,House of Brews #6416,US,6416,65,65,3,N,A,N,S,Y,Y,,FL,US,ORLANDO,15661 S. APOPKA VINELAND ROAD,32821,
3416,House of Brews #3416,US,3416,65,65,3,N,A,N,S,Y,Y,,CA,US,IRVINE,71 FORTUNE DRIVE,92618,
5765,House of Brews #5765,US,5765,65,65,3,N,A,N,S,Y,Y,,KS,US,OVERLAND PARK,12065 METCALF AVE,66213,
9866,Store #9866,CA,9866,50,25,0,N,O,N,S,Y,Y,-97.109089,MB,CA,WINNIPEG,1225 St. Mary''s Rd,R2M 5E5,49.827927
6789,House of Brews #6789,US,6789,65,65,3,N,A,N,S,Y,Y,,MN,US,ROCHESTER,4603 MAINE AVE SE,55904,
3792,House of Brews#3792,US,3792,45,45,3,N,A,N,S,Y,Y,-114.60648,AZ,US,YUMA,1470 YUMA PALMS PARKWAY,85365,32.70255
7802,Brewdis #7802,US,7802,25,125,0,N,O,N,S,Y,Y,,NY,US,LONG ISLAND CITY,31-48 STEINWAY STREET,11103-3984,
5688,House of Brews #5688,US,5688,65,65,3,N,A,N,S,Y,Y,,NY,US,WEST BABYLON,881 W MONTAUK HWY,11704,
3412,House of Brews #3412,US,3412,65,65,3,N,A,N,S,Y,Y,,NY,US,WEBSTER,1034 Ridge Road,14580,
3786,House of Brews#3786,CA,3786,30,30,3,N,A,N,S,Y,Y,-71.285062,QC,CA,SAINTE-FOY,2700 Laurier Boulevard,G1V4J9,46.770588
8452,SQAle #8452,US,8452,10,15,0,N,A,N,S,Y,Y,,TX,US,SAN ANTONIO,11745 W INTERSTATE HWY 10,78230,
2530,Brewdis Brewery #2530,US,2530,15,15,0,N,A,N,S,Y,Y,-90.526043,IA,US,DAVENPORT,4231 Elmore Avenue,52807,41.563547
2916,Brewdis #2916,US,2916,25,125,0,N,A,N,S,Y,Y,,WI,US,MADISON,341 State Street,53703,
8005,SQAle #8005,US,8005,15,15,0,N,A,N,S,Y,Y,,GA,US,NORCROSS,5145 PEACHTREE PARKWAY,30092,
5106,Gap5106,US,5106,30,150,2,N,A,N,S,Y,Y,,NY,US,CLARKSTOWN,75 WEST ROUTE 59,10954,
5699,House of Brews #5699,US,5699,65,65,3,N,A,N,S,Y,Y,,GA,US,FAYETTEVILLE,116 PAVILION PKWY,30214,
4862,House of Brews#4862,US,4862,25,30,0,N,A,N,S,N,N,-158.052046,HI,US,KAPOLEI,91-5431 KAPOLEI PARKWAY,96707,21.336309
5714,House of Brews #5714,US,5714,0,45,3,N,O,N,S,N,N,,AZ,US,PHOENIX,4609 EAST RAY ROAD,85044,
7237,Brewdis #7237,US,7237,25,125,0,N,O,N,S,Y,Y,,NY,US,BAYSIDE,211-15 26TH AVENUE,11360,
8084,SQAle#8084,US,8084,30,30,0,N,A,N,S,Y,Y,-77.06304,DC,US,WASHINGTON,3200 M STREET NW,20007,38.904967
2912,Brewdis #2912,US,2912,60,180,0,N,A,N,S,Y,Y,-88.041387,WI,US,Wauwatosa,2500 North Mayfair Road,53226,43.049312
6331,Brewdis #6331,US,6331,25,125,0,N,A,N,S,Y,Y,,FL,US,PEMBROKE PINES,11401 PINES BLVD,33026,
8089,SQAle #8089,US,8089,25,25,0,N,A,N,S,Y,Y,,PA,US,PITTSBURGH,5534 WALNUT STREET,15232,
3801,Brewdis #3801,US,3801,60,30,0,N,O,N,S,N,N,-119.750294,CA,US,Fresno,607 E Shaw Ave,93710,36.896749
5353,House of Brews#5353,US,5353,45,45,3,N,A,N,S,Y,Y,-111.342263,MT,US,GREAT FALLS,1601 MARKET PLACE DR,59404,47.482232
2531,Brewdis Brewery #2531,US,2531,25,25,0,N,A,N,S,Y,Y,-71.959587,CT,US,Mashantucket,455 Trolley Line Boulevard,6338,41.474049
5900,House of Brews#5900,US,5900,65,65,3,N,A,N,S,Y,Y,-96.766767,TX,US,DALLAS,8170 Park Lane Suite 124,75231,32.871928
6677,Brewdis #6677,US,6677,30,30,0,N,O,N,S,N,N,,TX,US,THE WOODLANDS,1201 Lake Woodlands Drive,77380,
6567,House of Brews #6567,US,6567,70,70,3,N,A,N,S,Y,Y,,MA,US,HANOVER,1775 WASHINGTON ST,2339,
7901,Brewdis #7901,US,7901,50,25,0,N,O,N,S,N,N,,IN,US,MISHAWAKA,6501 GRAPE RD,46545,
5020,House of Brews #5020,US,5020,65,65,3,N,A,N,S,Y,Y,,OH,US,LANCASTER,1635 River Valley Circle South,43130,
6128,House of Brews #6128,US,6128,45,45,3,N,A,N,S,Y,Y,,AZ,US,SCOTTSDALE,16215 N SCOTTSDALE RD,85254,
6732,Store #6732,CA,6732,15,15,0,N,A,N,S,Y,Y,-123.1166,BC,CA,VANCOUVER,650 West 41st Ave.,V5Z 2M9,49.232577
8088,SQAle #8088,US,8088,15,15,0,N,A,N,S,Y,Y,,VA,US,Alexandria,628 King Street,22314,
3169,SQAle #3169,US,3169,24,20,0,N,O,N,S,N,N,,VA,US,MCLEAN,7872 TYSONS CORNER CTR.,22102-4501,
3281,House of Brews#3281,US,3281,65,65,3,N,A,N,S,Y,Y,-98.215528,TX,US,MCALLEN,7900 N. 10th Street,78504,26.274251
5328,House of Brews #5328,US,5328,90,90,3,N,A,N,S,Y,Y,,IL,US,CHICAGO,1596 N KINGSBURY ST,60622-2532,
3162,SQAle #3162,US,3162,25,25,0,N,A,N,S,Y,Y,,GA,US,ATLANTA,260 18th Street Suite 10130,30363,
5878,House of Brews#5878,US,5878,65,65,3,N,A,N,S,Y,Y,-97.551816,OK,US,OKLAHOMA CITY,2210 W MEMORIAL DR,73134,35.60684
8422,SQAle #8422,US,8422,15,15,0,N,O,N,S,N,N,,SC,US,MYRTLE BEACH,Farrow Parkway & South Park Drive,29577,
1996,SQAle Brewery #1996,US,1996,15,15,0,N,A,N,S,Y,Y,-71.561991,NH,US,TILTON,120 Laconia Road,3276,43.458392
4829,House of Brews#4829,US,4829,65,30,0,N,A,N,S,Y,Y,-90.740811,IA,US,DUBUQUE,2555 NW ARTERIAL,52002,42.518555
1933,Brewdis Brewery #1933,US,1933,15,15,0,N,A,N,S,Y,Y,-75.106474,MD,US,OCEAN CITY,12741 Ocean Gateway,21842,38.337998
9558,Brewdis #9558,US,9558,30,30,0,N,O,N,S,N,N,,NJ,US,LIVINGSTON,112 Eisenhower Parkway,7039,
4868,Hip Hops #4868,US,4868,30,30,0,N,A,N,S,Y,Y,,NC,US,Durham,6910 Fayetteville Road Suite 149,27713,
7591,Hip Hops #7591,US,7591,30,30,0,N,A,N,S,Y,Y,-96.1824397,NE,US,Omaha,17110 Davenport St Suite 105,68118,41.2612551
5062,House of Brews#5062,US,5062,65,45,3,N,A,N,S,Y,Y,-85.870225,FL,US,PANAMA CITY BEACH,203 BLUEFISH DRIVE,32413,30.219234
3758,Brewdis 0686,JP,3758,400,400,1,Y,A,N,S,Y,Y,139.446328,14,JP,Fujisawa-shi,1-3-1,251-0041,35.337903
9108,Brewdis #9108,US,9108,40,120,0,N,A,N,S,Y,Y,,CA,US,DAVIS,500 1ST ST,95616,
3068,House of Brews#3068,US,3068,90,90,3,N,A,N,S,Y,Y,-122.335368,WA,US,SEATTLE,511 Pine St,98101,47.61206
1429,SQAle Brewery #1429,US,1429,15,15,0,N,A,N,S,Y,Y,-78.960497,SC,US,MYRTLE BEACH,4630 Factory Stores Boulevard,29579,33.752814
316,Brewdis #316,US,316,60,30,0,N,O,N,S,N,N,,CA,US,TEMECULA,40820 Winchester Road,92591,
3497,House of Brews #3497,US,3497,65,65,3,N,A,N,S,Y,Y,,CA,US,CULVER CITY,West Field Culver City Mall,90230,
5833,House of Brews#5833,US,5833,45,45,3,N,A,N,S,Y,Y,-97.248888,KS,US,WICHITA,7700 E KELLOGG DR,67207,37.683196
717,Brewdis #717,US,717,25,25,0,N,O,N,S,N,N,,NJ,US,EATONTOWN,180 STATE ROUTE 35 S,07724-2019,
8085,SQAle #8085,US,8085,20,20,0,N,A,N,S,Y,Y,,PA,US,WILLOW GROVE,2500 W MORELAND RD,19090,
3742,Brewdis 3742,JP,3742,44,44,1,N,A,N,S,Y,Y,135.771667,26,JP,Kyoto-shi,"344, Shioya-cho",604-8027,35.002222
8463,SQAle #8463,US,8463,30,40,0,N,A,N,S,Y,Y,,TX,US,FORT WORTH,1604 S. UNIVERSITY DRIVE,76107,
3074,House of Brews #3074,US,3074,65,65,3,N,A,N,S,Y,Y,,OR,US,KEIZER,6190 Ulali Drve NE,97307,
5345,House of Brews#5345,US,5345,65,90,3,N,A,N,S,Y,Y,-73.852706,NY,US,YONKERS,4010 XAVIER DR,10704,40.926916
2012,Brewdis #2012,US,2012,30,30,0,N,O,N,S,N,N,,IN,US,TERRE HAUTE,3401 S US HIGHWAY 41,47802,
